Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Algeria,DZA,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,1.66481,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.22392,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,0.8955,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.40254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.15634,10.42723,9.81473,10.19616,..,..,..,..,..,..,..,10.53717,10.46091,10.43894,..,..,..,..,..,..,..,..
Andorra,AND,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.11029,10.59517,9.96462,10.22823,..,..,..,..,..,..,..,10.64441,10.57635,10.56401,..,..,..,..,..,..,..,..
Andorra,AND,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.13419,10.51522,9.8935,10.21304,..,..,..,..,..,..,..,10.59014,10.51871,10.50176,..,..,..,..,..,..,..,..
Angola,AGO,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.13611,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.95799,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.99596,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,5.69462,..,..,..,..,..,..,..,..,..,6.77435,..,..,..,..,..,..,..,..,..,..,7.90297,..,..,..,..,..,..,..,..,..,8.87543,..,9.8852,..,..,10.40822,..,10.60842,10.77123,10.77528,10.87172,11.02336,11.08803,11.15414,11.16426,11.13786,..,11.34634,..,..,..,..,..,..
Argentina,ARG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,6.23799,..,..,..,..,..,..,..,..,..,6.72253,..,..,..,..,..,..,..,..,..,..,8.13223,..,..,..,..,..,..,..,..,..,8.66949,..,9.72346,..,..,10.20164,..,10.39876,10.49547,10.59208,10.69722,10.68659,10.82681,10.80168,10.80888,10.83777,..,10.94502,..,..,..,..,..,..
Argentina,ARG,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,5.961,..,..,..,..,..,..,..,..,..,6.74932,..,..,..,..,..,..,..,..,..,..,8.01231,..,..,..,..,..,..,..,..,..,8.77841,..,9.80576,..,..,10.31451,..,10.51253,10.64455,10.69098,10.79015,10.86789,10.96858,10.99034,10.9999,10.99897,..,11.16078,..,..,..,..,..,..
Armenia,ARM,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.34996,..,..,..,..,..,..,..,..,..,11.30488,..,..,..,11.70447,..,11.29839,..,..,..,..,..,..,..
Armenia,ARM,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.57222,..,..,..,..,..,..,..,..,..,11.31423,..,..,..,11.69459,..,11.30585,..,..,..,..,..,..,..
Armenia,ARM,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.45174,..,..,..,..,..,..,..,..,..,11.30916,..,..,..,11.69998,..,11.30174,..,..,..,..,..,..,..
Aruba,ABW,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.2089,..,..,..,..,..,..,..,..,8.381,..,..,..,..,..,..,..,..,..,8.31384,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.95676,..,..,..,..,..,..,..,..,8.93753,..,..,..,..,..,..,..,..,..,8.47793,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.56583,..,..,..,..,..,..,..,..,8.64122,..,..,..,..,..,..,..,..,..,8.38881,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,9.105,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.70693,11.76674,11.9365,12.03388,12.32278,12.39437,12.48122,12.60574,12.79733,12.07382,12.16779,12.2695,12.39655,12.40007,12.57725,..,..,..,..,..,..
Australia,AUS,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,10.37592,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.93582,11.96301,12.01275,12.09753,12.26727,12.31448,12.34035,12.39005,12.61996,12.01944,12.22585,12.28096,12.37546,12.32045,12.43492,..,..,..,..,..,..
Australia,AUS,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,9.73432,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.82016,11.86393,11.97422,12.0655,12.29526,12.35454,12.41071,12.49883,12.70935,12.04686,12.1965,12.27517,12.38612,12.36087,12.50712,..,..,..,..,..,..
Austria,AUT,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,9.06684,..,..,..,..,..,..,..,..,..,10.82503,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.17828,..,11.08456,10.96874,11.27799,11.34412,11.33168,11.38065,11.44007,11.62955,11.74792,11.80643,11.87403,..,..,..,..,..,..,..
Austria,AUT,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,10.31135,..,..,..,..,..,..,..,..,..,9.57839,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12.01947,..,12.06237,12.09947,12.14536,12.15625,12.16122,12.19072,12.20025,12.42884,12.46493,12.47828,12.49718,..,..,..,..,..,..,..
Austria,AUT,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,9.61983,..,..,..,..,..,..,..,..,..,10.13896,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.58015,..,11.55305,11.49082,11.69434,11.73423,11.7306,11.77063,11.80627,12.0145,12.09431,12.09449,12.1759,..,..,..,..,..,..,..
Azerbaijan,AZE,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.4832,..,..,..,..,..,..,..,10.10761,10.1215,10.12927,10.15892,10.16167,10.16228,10.16551,10.16521,10.16084,10.2424,10.2201,..,..,..,..,..,..,..
Azerbaijan,AZE,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10.41692,..,..,..,..,..,..,..,10.79378,10.80137,10.8049,10.79917,10.79847,10.80682,10.81234,10.81629,10.81695,10.8936,10.8944,..,..,..,..,..,..,..
Azerbaijan,AZE,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.91747,..,..,..,..,..,..,..,10.43555,10.44655,10.45223,10.46595,10.46714,10.47151,10.47588,10.47768,10.47585,10.5554,10.5446,..,..,..,..,..,..,..
"Bahamas, The",BHS,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.44987,..,..,..,..,..,..,..,..,..,11.23228,..,..,..,..,..,..,..,..,..,12.04617,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.42157,..,..,..,..,..,..,..,..,..,10.80504,..,..,..,..,..,..,..,..,..,11.71435,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Bahamas, The",BHS,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.43642,..,..,..,..,..,..,..,..,..,11.04335,..,..,..,..,..,..,..,..,..,11.89006,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,1.12946,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.8728,..,..,..,..,..,..,..,..,..,7.43526,..,..,..,..,..,..,..,..,7.9677,..,..,..,..,..,8.89221,9.08769,10.37557,..,..,..,..,..,..
Bahrain,BHR,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,2.44768,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.37726,..,..,..,..,..,..,..,..,..,9.13532,..,..,..,..,..,..,..,..,8.03948,..,..,..,..,..,9.44099,9.72027,10.52958,..,..,..,..,..,..
Bahrain,BHR,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,1.88748,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.19348,..,..,..,..,..,..,..,..,..,8.52635,..,..,..,..,..,..,..,..,8.01587,..,..,..,..,..,9.25912,9.5192,10.47993,..,..,..,..,..,..
Bangladesh,BGD,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.37087,..,..,..,..,..,..,0.90657,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.77931,..,..,..,..,..,..,..,..,..,4.40422,4.53899,4.36723,4.59836,5.34107,5.43883,5.63924,5.79832,5.97717,..,..,..,..,..
Bangladesh,BGD,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.07603,..,..,..,..,..,..,3.07659,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.00275,..,..,..,..,..,..,..,..,..,6.00875,6.08224,5.74734,5.80048,6.63524,6.78132,6.90503,6.99896,7.14094,..,..,..,..,..
Bangladesh,BGD,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.25016,..,..,..,..,..,..,2.0527,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.39687,..,..,..,..,..,..,..,..,..,5.19887,5.30234,5.06477,5.1944,5.98583,6.11389,6.27025,6.38588,6.54998,..,..,..,..,..
Barbados,BRB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,8.27189,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.07628,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,8.64008,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.90166,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Barbados,BRB,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes",UIS.EA.MEAN.1T6.AG25T99,..,..,..,..,..,..,..,..,..,..,8.42916,..,..,..,..,..,..,..,..,..,8.63971,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.99301,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, female",UIS.EA.MEAN.1T6.AG25T99.F,..,..,..,..,..,..,..,..,..,..,5.94306,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.72814,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.21051,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,"UIS: Mean years of schooling (ISCED 1 or higher), population 25+ years, male",UIS.EA.MEAN.1T6.AG25T99.M,..,..,..,..,..,..,..,..,..,..,6.79817,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.66706,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.48874,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
